"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Chicot, AR","50","23.3%","-","0.0%","42.9","-5.8%"
"Union, LA","48","20.8%","50","25.0%","43.5","-10.7%"
"Union, NM","49","28.0%","-","0.0%","40.3","-10.8%"
"Union, AR","54","18.9%","-","12.3%","41.5","-6.2%"
"Dallas, TX","30","7.9%","48","35.1%","34.3","4.9%"
"Dallas, MO","42","12.9%","48","24.3%","42.5","-0.8%"
"Dallas, AR","39","30.5%","-","0.0%","44.5","-18.9%"
"Hot Spring, AR","45","15.1%","-","20.5%","43.0","-1.1%"
"Red River, TX","31","19.2%","-","19.6%","49.1","-10.5%"
"Red River, LA","54","16.5%","-","57.1%","40.4","-14.1%"
"Caddo, OK","41","21.3%","-","22.6%","37.8","-12.4%"
"Caddo, LA","47","12.3%","45","25.3%","40.4","-0.5%"
"Iberville, LA","43","17.7%","40","27.4%","40.3","0.7%"
"Jefferson Davis, LA","45","17.0%","57","25.2%","37.4","2.1%"
"Beauregard, LA","45","14.2%","-","18.7%","36.9","2.6%"
"Orange, TX","40","12.8%","52","18.1%","38.6","1.1%"
"Hardin, TX","41","11.8%","45","28.2%","39.3","1.4%"
"Nemaha, NE","61","15.2%","-","0.0%","39.0","-5.3%"
"Nemaha, KS","49","10.0%","-","28.5%","40.0","-2.2%"
"Reno, KS","56","10.4%","45","23.6%","40.7","-0.5%"
"Hall, TX","25","33.7%","-","0.0%","44.9","-9.3%"
"McClain, OK","34","6.4%","57","33.6%","38.9","11.4%"
"Sedgwick, KS","43","7.9%","51","17.7%","36.4","3.9%"
"Kingman, KS","52","15.9%","-","16.6%","43.4","-4.6%"
"Delta, CO","46","15.2%","-","28.5%","48.4","1.1%"
"Delta, TX","30","14.1%","-","34.2%","40.7","-1.4%"
"Wise, TX","29","5.9%","54","35.1%","40.6","12.2%"
"Coryell, TX","30","6.0%","69","26.0%","33.4","11.2%"
"Cotton, OK","46","24.2%","50","0.0%","43.2","-9.7%"
"Archer, TX","46","12.2%","41","13.7%","43.1","-5.5%"
"Throckmorton, TX","21","28.5%","-","0.0%","42.7","-9.9%"
"Baylor, TX","33","28.6%","-","12.5%","47.5","-17.2%"
"McCulloch, TX","41","27.1%","-","18.1%","47.1","-1.9%"
"Williamson, TX","32","3.8%","55","37.4%","37.4","38.7%"
"Burnet, TX","28","20.2%","-","28.1%","44.9","10.0%"
"Blanco, TX","29","18.0%","-","19.3%","50.3","5.3%"
"Furnas, NE","47","20.2%","-","34.7%","46.4","-7.3%"
"Lane, KS","61","18.0%","-","0.0%","48.9","-9.1%"
"Gray, KS","30","11.1%","-","21.0%","36.6","-3.9%"
"Gray, TX","46","20.5%","-","12.6%","36.8","-0.5%"
"Haskell, TX","44","31.6%","-","14.2%","44.3","-10.3%"
"Haskell, OK","45","19.5%","-","19.3%","41.4","-7.5%"
"Haskell, KS","33","10.4%","-","20.0%","38.0","-8.0%"
"Hardeman, TX","31","30.4%","-","0.0%","44.3","-18.7%"
"Concho, TX","40","40.2%","-","20.0%","45.3","-13.9%"
"Lynn, TX","36","18.2%","43","25.0%","37.2","-5.2%"
"Dawson, TX","51","15.0%","-","12.5%","34.6","-5.6%"
"Hockley, TX","44","12.4%","33","25.6%","35.8","-1.4%"
"Cochran, TX","56","24.6%","47","0.0%","38.7","-7.0%"
"Webb, TX","43","7.3%","49","21.4%","30.5","6.1%"
"Maverick, TX","45","9.5%","-","12.9%","30.2","10.3%"
"El Paso, TX","44","7.6%","68","14.4%","33.9","8.8%"
"El Paso, CO","26","4.2%","60","34.9%","35.4","13.4%"
"Pueblo, CO","28","7.7%","61","32.2%","41.2","4.3%"
"Boulder, CO","29","6.1%","42","30.1%","38.2","6.4%"
"Park, CO","30","41.1%","59","29.2%","51.7","-0.6%"
"Quay, NM","47","25.5%","-","0.0%","48.1","-2.8%"
"San Miguel, CO","53","39.4%","-","8.0%","42.7","-3.3%"
"San Miguel, NM","61","19.6%","-","11.4%","46.8","-6.7%"
"Costilla, CO","42","34.9%","-","13.7%","50.7","-14.1%"
"Conejos, CO","47","23.3%","-","11.1%","38.8","-7.7%"
"Jeff Davis, TX","28","42.8%","-","20.5%","58.7","-20.3%"
"Rio Blanco, CO","58","21.3%","-","20.5%","39.1","-2.7%"
"Mesa, CO","46","4.6%","47","21.2%","41.6","6.2%"
"Carbon, UT","43","16.6%","-","28.0%","38.8","-1.6%"
"Montezuma, CO","50","11.3%","-","21.6%","44.5","0.0%"
"Grant, AR","41","12.0%","46","18.1%","40.2","-0.9%"
"Grant, OK","41","28.5%","-","0.0%","42.9","-12.0%"
"Grant, LA","46","20.5%","46","17.0%","38.5","-2.2%"
"Grant, KS","59","18.9%","-","0.0%","32.9","-0.5%"
"Grant, NM","48","24.5%","-","16.3%","49.0","-2.3%"
"Gila, AZ","37","28.7%","-","28.6%","51.4","-2.3%"
"Beaver, OK","32","31.2%","-","25.0%","41.1","-7.8%"
"Morgan, MO","48","45.9%","-","34.0%","45.4","-2.6%"
"Morgan, CO","31","5.4%","-","24.1%","36.9","-0.4%"
"Morgan, IL","61","12.6%","-","14.1%","41.5","-2.8%"
"Greene, AR","41","7.6%","-","12.2%","37.8","3.0%"
"Greene, MO","38","5.6%","66","20.1%","36.6","4.1%"
"Greene, IL","51","22.1%","-","11.1%","43.1","-9.7%"
"Schuyler, MO","53","34.3%","35","0.0%","38.8","-9.3%"
"Schuyler, IL","51","17.6%","-","0.0%","48.8","-3.9%"
"Washington, OK","51","13.2%","48","27.3%","39.4","0.1%"
"Washington, CO","28","9.2%","-","16.0%","41.2","-5.2%"
"Washington, MS","36","17.5%","-","23.5%","38.3","-3.2%"
"Washington, LA","41","17.6%","-","29.6%","41.0","-0.5%"
"Washington, AR","42","7.4%","58","20.2%","32.9","13.3%"
"Washington, KS","51","13.1%","-","0.0%","43.9","-7.0%"
"Washington, TX","28","12.0%","-","29.8%","40.9","8.5%"
"Washington, MO","49","17.4%","-","32.2%","40.2","-2.7%"
"Tate, MS","48","7.0%","54","24.6%","38.5","1.3%"
"Stoddard, MO","52","14.9%","-","19.2%","41.9","-2.3%"
"Butler, KS","46","6.2%","40","19.4%","39.0","1.6%"
"Butler, MO","53","14.5%","-","24.8%","40.5","-2.7%"
"Cross, AR","45","13.9%","-","25.5%","40.6","-4.7%"
"Humphreys, MS","46","14.9%","-","0.0%","38.4","-7.9%"
"Phillips, CO","42","10.8%","-","14.8%","40.3","8.8%"
"Phillips, KS","50","21.9%","-","19.0%","44.6","-9.3%"
"Phillips, AR","31","26.3%","-","18.6%","39.9","-17.7%"
"Warren, MO","47","15.2%","53","13.8%","40.8","3.5%"
"Warren, MS","49","21.9%","-","11.1%","40.3","-2.1%"
"Shelby, TN","34","10.4%","55","28.4%","36.0","-0.2%"
"Shelby, TX","45","20.4%","-","23.5%","40.0","-5.0%"
"Shelby, MO","58","19.5%","-","0.0%","43.6","-8.0%"
"Miller, AR","41","17.6%","41","27.6%","39.0","1.3%"
"Miller, MO","50","19.7%","-","27.3%","40.8","-3.0%"
"Decatur, KS","44","16.4%","-","0.0%","52.1","-8.7%"
"Decatur, IA","55","16.4%","-","11.1%","36.2","-5.3%"
"DeKalb, MO","47","11.7%","47","14.2%","42.3","-1.2%"
"Clinton, MO","46","8.6%","52","19.4%","42.1","0.6%"
"Nodaway, MO","48","11.4%","-","10.2%","33.9","-2.5%"
"Miami, KS","45","3.9%","53","29.5%","41.8","3.4%"
"Anderson, TX","35","16.2%","-","27.4%","39.5","0.5%"
"Anderson, KS","50","7.9%","-","35.2%","40.4","-4.5%"
"Jackson, KS","50","9.1%","52","11.7%","41.0","-3.6%"
"Jackson, MO","42","8.3%","60","23.3%","37.2","4.0%"
"Jackson, TX","35","22.7%","-","20.0%","42.1","5.3%"
"Jackson, OK","46","18.8%","-","18.5%","35.0","-0.7%"
"Jackson, LA","53","22.4%","-","13.7%","41.5","-8.0%"
"Jackson, AR","50","14.2%","-","20.5%","40.4","-6.2%"
"Cleburne, AR","50","33.1%","-","19.2%","49.5","-2.4%"
"Pulaski, AR","44","13.0%","61","25.6%","38.0","4.7%"
"Pulaski, MO","56","15.1%","41","19.2%","27.5","1.6%"
"Van Buren, IA","46","17.3%","-","20.0%","44.8","-4.0%"
"Van Buren, AR","42","26.8%","-","19.4%","49.6","-6.8%"
"Saline, KS","48","7.6%","49","14.3%","39.8","-0.8%"
"Saline, MO","53","18.5%","-","20.0%","35.4","-3.2%"
"Saline, NE","35","10.5%","-","21.4%","37.4","-0.8%"
"Saline, AR","39","5.3%","52","24.5%","41.5","8.5%"
"Cherokee, TX","39","13.7%","-","22.5%","38.2","-1.1%"
"Cherokee, OK","50","17.3%","-","28.8%","37.3","0.9%"
"Cherokee, KS","49","15.4%","62","23.7%","42.0","-7.6%"
"Ottawa, KS","48","11.4%","44","22.2%","42.5","-3.5%"
"Ottawa, OK","48","14.1%","-","18.6%","37.3","-2.7%"
"Mayes, OK","44","16.8%","-","16.2%","40.5","-5.8%"
"Ashley, AR","47","23.4%","-","19.0%","42.7","-7.3%"
"Cleveland, OK","44","6.1%","60","25.7%","35.5","7.5%"
"Cleveland, AR","41","22.3%","-","25.0%","43.7","-12.0%"
"Rapides, LA","47","14.6%","42","21.4%","38.4","0.8%"
"Lincoln, AR","30","20.0%","-","22.8%","40.1","-10.6%"
"Lincoln, MO","49","5.0%","58","19.7%","37.5","9.4%"
"Lincoln, KS","41","26.7%","-","0.0%","44.1","-10.0%"
"Lincoln, CO","43","17.4%","-","9.5%","40.7","16.5%"
"Lincoln, NM","41","47.2%","-","19.0%","52.7","-1.7%"
"Lincoln, OK","37","10.6%","38","29.5%","41.3","-5.5%"
"Lincoln, MS","52","17.9%","-","15.5%","41.2","2.6%"
"Lincoln, LA","49","11.1%","44","20.2%","28.6","2.8%"
"Angelina, TX","35","14.1%","-","23.2%","37.6","0.7%"
"Iberia, LA","44","15.8%","-","28.1%","40.4","2.2%"
"Allen, KS","49","17.4%","-","32.6%","41.3","-3.7%"
"Allen, LA","41","19.7%","-","10.2%","38.9","-3.4%"
"Jasper, MO","48","6.1%","65","18.7%","36.9","6.9%"
"Jasper, TX","37","17.4%","-","22.7%","42.5","-3.4%"
"Polk, MO","42","10.9%","48","25.0%","38.9","-0.7%"
"Polk, AR","49","18.2%","-","17.1%","44.4","-4.6%"
"Polk, TX","41","27.6%","-","25.1%","43.9","2.2%"
"Fremont, CO","31","13.4%","-","28.9%","44.9","3.7%"
"Fremont, IA","39","11.8%","-","25.0%","46.4","-9.1%"
"Coffey, KS","47","10.9%","-","10.0%","44.0","-1.8%"
"Chase, NE","41","23.1%","-","19.0%","41.8","-3.7%"
"Chase, KS","55","18.0%","-","0.0%","44.5","-6.3%"
"Geary, KS","60","13.3%","47","20.7%","27.1","3.6%"
"Marion, MS","56","17.6%","-","11.2%","40.7","-6.5%"
"Marion, TX","45","25.1%","-","37.8%","50.6","-11.2%"
"Marion, AR","50","24.1%","-","25.1%","51.9","1.9%"
"Marion, MO","50","12.6%","-","20.2%","39.4","-0.9%"
"Marion, KS","46","17.2%","-","18.1%","43.7","-5.3%"
"Clay, NE","34","12.1%","-","11.4%","40.1","-6.8%"
"Clay, AR","30","18.4%","-","18.6%","42.6","-6.4%"
"Clay, MO","48","4.6%","59","15.7%","38.4","10.2%"
"Clay, TX","31","17.9%","53","26.2%","47.8","-1.1%"
"Clay, KS","55","7.8%","-","22.2%","43.1","-3.2%"
"Fillmore, NE","35","12.8%","-","0.0%","46.3","-6.8%"
"Thayer, NE","35","17.3%","-","0.0%","46.2","-8.7%"
"Nuckolls, NE","41","17.9%","-","0.0%","50.5","-9.6%"
"Stafford, KS","48","24.0%","-","0.0%","42.1","-10.0%"
"Osborne, KS","37","20.6%","-","0.0%","46.8","-7.4%"
"Pawnee, OK","45","18.1%","49","24.6%","41.7","-6.1%"
"Pawnee, NE","34","23.6%","-","0.0%","47.1","-13.0%"
"Pawnee, KS","53","20.6%","-","15.6%","44.9","-3.8%"
"Greenwood, KS","57","29.2%","-","26.6%","48.4","-8.6%"
"Hughes, OK","48","30.7%","-","17.3%","39.2","-7.1%"
"Logan, KS","39","9.7%","-","0.0%","41.1","-5.2%"
"Logan, AR","54","13.0%","-","19.7%","43.8","-4.1%"
"Logan, OK","36","9.4%","53","26.3%","40.2","10.5%"
"Hopkins, TX","28","12.1%","-","33.1%","39.6","2.7%"
"Madison, IL","59","7.1%","54","22.2%","41.1","-0.1%"
"Madison, MS","48","5.0%","61","20.8%","37.9","9.1%"
"Madison, AR","39","17.1%","42","17.9%","41.2","1.9%"
"Madison, MO","49","21.3%","-","21.6%","41.4","-2.3%"
"Madison, TX","42","18.7%","-","18.1%","35.8","-3.0%"
"Atoka, OK","45","19.0%","-","11.1%","40.2","-5.9%"
"Fannin, TX","31","13.2%","-","27.5%","40.7","2.4%"
"Johnston, OK","38","16.8%","-","36.3%","39.5","-8.9%"
"Johnson, KS","50","4.2%","49","11.9%","39.1","6.9%"
"Johnson, AR","50","12.8%","-","21.7%","39.4","0.5%"
"Johnson, NE","38","16.2%","-","0.0%","40.1","-3.7%"
"Johnson, MO","42","8.7%","49","25.0%","31.3","2.1%"
"Johnson, TX","30","9.9%","53","32.9%","37.3","16.5%"
"Jefferson, NE","35","15.0%","-","16.6%","44.7","-6.1%"
"Jefferson, CO","25","5.3%","37","39.9%","40.7","5.3%"
"Jefferson, MS","45","29.8%","-","44.4%","43.0","-9.6%"
"Jefferson, KS","43","7.6%","39","23.5%","43.8","-3.9%"
"Jefferson, LA","34","9.2%","52","25.5%","40.2","3.1%"
"Jefferson, TX","41","15.0%","51","26.6%","37.5","1.7%"
"Jefferson, MO","57","6.2%","41","18.3%","40.4","3.4%"
"Jefferson, AR","39","22.2%","-","28.1%","40.5","-7.9%"
"Jefferson, OK","44","21.2%","-","20.0%","41.2","-19.3%"
"Stephens, OK","53","15.1%","-","20.3%","40.9","-1.8%"
"Stephens, TX","36","23.7%","-","6.5%","41.6","-5.6%"
"Coleman, TX","35","34.1%","-","4.6%","48.5","-11.2%"
"Walker, TX","33","15.4%","53","22.0%","36.9","18.9%"
"Waller, TX","33","9.8%","54","21.5%","30.8","19.1%"
"Robertson, TX","34","24.2%","41","14.9%","40.9","-2.2%"
"Calhoun, IL","50","46.8%","24","19.0%","48.5","-20.2%"
"Calhoun, AR","40","35.8%","-","23.5%","44.8","-15.1%"
"Calhoun, TX","35","21.8%","-","20.4%","39.9","-9.9%"
"Brooks, TX","54","25.2%","-","50.0%","38.1","24.9%"
"Wichita, TX","33","11.7%","59","31.2%","35.6","-0.0%"
"Wichita, KS","55","11.3%","-","0.0%","38.7","-6.0%"
"Childress, TX","32","25.9%","-","0.0%","33.6","5.5%"
"Collingsworth, TX","27","35.6%","-","0.0%","38.1","1.5%"
"Ochiltree, TX","42","13.4%","-","19.0%","33.3","6.0%"
"Seward, KS","50","13.1%","-","6.7%","31.0","0.9%"
"Stanton, KS","49","18.9%","-","0.0%","36.5","-7.3%"
"Sherman, KS","44","19.7%","-","11.1%","38.9","-5.9%"
"Sherman, TX","46","24.6%","-","0.0%","36.5","-23.1%"
"Foard, TX","42","30.0%","-","0.0%","45.7","-32.3%"
"Jones, TX","35","14.6%","67","14.1%","39.0","-3.7%"
"Fisher, TX","38","22.0%","-","0.0%","42.6","-7.8%"
"Andrews, TX","57","4.0%","-","35.0%","33.1","13.7%"
"Uvalde, TX","38","16.5%","-","11.9%","34.6","-9.1%"
"Summit, CO","44","61.2%","-","10.5%","39.2","3.0%"
"Los Alamos, NM","28","5.1%","-","34.0%","41.1","3.3%"
"Valencia, NM","46","4.1%","49","20.7%","40.4","-0.6%"
"Reeves, TX","27","19.0%","-","30.7%","34.4","10.6%"
"Uintah, UT","54","13.3%","-","22.2%","33.0","1.1%"
"Salt Lake, UT","33","4.9%","50","36.8%","34.4","13.6%"
"La Plata, CO","51","18.9%","43","17.5%","42.3","4.2%"
"Hidalgo, TX","34","11.9%","63","18.0%","30.9","11.7%"
"Greenlee, AZ","49","22.1%","-","50.0%","36.1","-0.2%"
"Graham, KS","37","17.2%","-","0.0%","46.1","-3.2%"
"Graham, AZ","42","10.6%","-","25.2%","34.4","3.9%"
"Davis, IA","32","12.0%","-","11.1%","36.2","0.1%"
"Burlington, NJ","60","3.8%","48","17.3%","41.8","3.8%"
"Cape May, NJ","56","52.2%","53","18.4%","52.7","0.0%"
"Lebanon, PA","53","3.9%","46","9.1%","41.4","4.0%"
"Charles, MD","47","3.2%","41","20.6%","39.2","5.5%"
"Stafford, VA","51","2.8%","65","19.1%","36.4","10.0%"
"Loudoun, VA","50","2.4%","57","24.6%","38.3","9.3%"
"Mathews, VA","62","31.3%","37","12.3%","53.8","-4.5%"
"Chowan, NC","50","16.4%","-","13.7%","47.9","-1.8%"
"Prince George, VA","53","5.4%","52","16.3%","33.4","8.2%"
"Hopewell, VA","52","9.7%","49","27.5%","36.4","1.5%"
"Hampshire, WV","59","33.5%","56","16.6%","48.1","-10.0%"
"Augusta, VA","55","3.5%","61","16.2%","45.3","1.8%"
"Harrisonburg, VA","60","7.0%","53","9.8%","25.4","2.5%"
"Upshur, WV","57","14.6%","-","17.9%","42.0","-0.9%"
"Wetzel, WV","51","18.8%","-","18.1%","45.6","-10.4%"
"Muskingum, OH","48","14.4%","40","29.9%","39.6","1.0%"
"Harnett, NC","39","11.7%","-","20.8%","36.3","6.2%"
"Lynchburg, VA","43","15.7%","61","17.4%","28.2","5.4%"
"Scotland, NC","45","14.1%","-","21.8%","38.3","-5.7%"
"Roanoke, VA","54","5.2%","56","22.4%","42.9","3.3%"
"Roanoke, VA","46","8.7%","55","38.5%","38.9","4.9%"
"Surry, VA","46","19.8%","35","11.1%","50.7","-3.4%"
"Surry, NC","49","9.3%","-","32.6%","44.2","-1.0%"
"Smyth, VA","48","16.9%","-","26.6%","46.2","-2.1%"
"Watauga, NC","54","35.8%","37","18.8%","32.2","-1.4%"
"Avery, NC","51","53.3%","-","19.5%","46.5","-0.8%"
"Charleston, SC","48","13.8%","61","34.4%","39.7","11.1%"
"Marlboro, SC","45","19.3%","-","10.5%","41.2","0.3%"
"Bulloch, GA","50","10.4%","65","18.8%","30.4","10.2%"
"Edgefield, SC","32","15.9%","57","14.6%","42.0","4.0%"
"Pierce, GA","39","11.3%","-","13.7%","40.3","4.1%"
"Manatee, FL","28","16.9%","73","33.3%","49.6","17.6%"
"Hernando, FL","30","8.7%","69","32.9%","47.4","7.6%"
"Okeechobee, FL","36","18.0%","-","25.8%","40.7","-0.5%"
"Scioto, OH","58","8.8%","-","21.5%","41.3","-4.1%"
"Pickaway, OH","40","5.2%","40","26.1%","39.5","5.7%"
"Dearborn, IN","55","3.8%","46","36.7%","41.8","2.6%"
"Oldham, KY","51","3.1%","49","18.3%","40.6","8.5%"
"Bartholomew, IN","47","5.8%","56","27.4%","36.8","3.8%"
"Breathitt, KY","50","15.6%","-","28.5%","43.0","3.8%"
"Leslie, KY","63","20.4%","-","0.0%","42.2","-8.3%"
"Rockcastle, KY","54","12.8%","64","27.5%","42.8","-5.4%"
"Murray, GA","40","5.5%","59","21.8%","39.3","0.6%"
"Gordon, GA","42","10.2%","-","23.9%","38.8","3.3%"
"Whitfield, GA","41","7.3%","56","18.2%","37.2","0.3%"
"Catoosa, GA","33","8.8%","48","34.1%","41.8","4.6%"
"Green, KY","40","16.9%","-","16.0%","45.2","-0.2%"
"Barren, KY","42","10.6%","-","23.8%","40.1","2.3%"
"Edmonson, KY","41","22.7%","50","18.6%","45.3","-2.1%"
"Wheeler, GA","37","36.5%","-","36.3%","39.5","-7.0%"
"Atkinson, GA","44","9.1%","-","80.0%","36.2","0.0%"
"Lanier, GA","49","16.7%","35","17.3%","36.7","-6.0%"
"Twiggs, GA","41","29.7%","55","22.2%","47.2","-4.4%"
"Barrow, GA","36","3.2%","50","21.6%","35.2","15.0%"
"Hall, GA","43","8.1%","60","31.8%","38.7","11.8%"
"Dougherty, GA","44","13.7%","52","14.7%","36.4","0.0%"
"Schley, GA","52","18.0%","-","0.0%","41.6","-9.4%"
"Terrell, GA","41","20.8%","66","23.5%","41.4","1.6%"
"Chambers, AL","48","18.3%","58","36.0%","41.5","-3.2%"
"Crenshaw, AL","50","22.6%","-","40.0%","42.4","-3.3%"
"Blount, TN","39","10.3%","73","31.5%","43.8","7.4%"
"Blount, AL","43","11.3%","42","25.3%","40.9","2.3%"
"Bay, FL","29","27.2%","52","26.6%","41.4","6.2%"
"Vanderburgh, IN","50","9.9%","51","26.9%","39.0","1.8%"
"Sangamon, IL","62","8.6%","50","19.1%","42.1","1.7%"
"Bond, IL","56","9.2%","48","19.0%","40.4","-4.6%"
"Menard, IL","59","7.2%","37","10.5%","42.8","-2.0%"
"McCracken, KY","56","10.5%","-","26.1%","41.8","0.2%"
"Crockett, TN","31","10.1%","50","25.3%","40.2","-4.4%"
"New Madrid, MO","39","13.8%","-","7.1%","41.8","-8.4%"
"St. Bernard, LA","37","12.2%","51","26.4%","35.8","5.9%"
"Stone, MS","51","12.8%","65","16.3%","39.3","2.4%"
"Ocean, NJ","57","17.1%","54","19.6%","41.1","4.1%"
"Berks, PA","62","5.0%","54","13.5%","39.5","2.7%"
"York, PA","57","3.7%","49","15.7%","41.1","3.3%"
"York, SC","36","8.4%","55","33.8%","40.3","12.1%"
"York, VA","60","3.8%","61","14.9%","40.5","3.0%"
"James City, VA","57","3.0%","60","21.8%","47.3","3.5%"
"Bertie, NC","40","21.8%","-","23.0%","45.9","-8.6%"
"Onslow, NC","46","13.5%","68","19.5%","27.8","10.6%"
"Lunenburg, VA","57","20.9%","-","21.6%","44.8","-1.3%"
"Pender, NC","44","16.8%","53","20.9%","40.6","14.6%"
"Albemarle, VA","54","6.2%","50","17.1%","42.1","8.6%"
"Mineral, WV","58","14.5%","47","28.9%","44.6","-4.7%"
"Indiana, PA","59","13.8%","-","21.4%","39.7","-3.3%"
"Garrett, MD","49","32.3%","-","18.3%","48.1","-3.7%"
"Preston, WV","58","15.8%","65","9.1%","43.2","0.5%"
"Pocahontas, WV","56","54.8%","-","8.2%","49.8","-23.1%"
"Beaver, PA","52","7.8%","55","20.7%","44.8","-0.2%"
"Kanawha, WV","61","14.8%","43","13.2%","44.2","-2.1%"
"Johnston, NC","34","6.8%","63","26.4%","38.6","22.0%"
"Sampson, NC","39","17.1%","-","17.0%","39.7","-6.7%"
"Wake, NC","38","6.0%","56","32.0%","37.7","15.9%"
"Pittsylvania, VA","55","16.4%","43","16.3%","48.3","-6.9%"
"Rockbridge, VA","58","15.5%","-","10.0%","49.7","-0.7%"
"Alamance, NC","38","9.5%","70","20.3%","39.4","9.4%"
"Buena Vista, VA","58","11.3%","-","38.0%","36.2","2.2%"
"Rockingham, VA","52","11.5%","53","10.7%","40.6","3.5%"
"Rockingham, NC","43","10.9%","63","21.8%","43.8","-0.5%"
"Martinsville, VA","72","20.0%","-","0.0%","40.2","-0.8%"
"Craig, VA","49","26.9%","59","22.2%","46.1","-16.8%"
"Stokes, NC","47","9.2%","45","21.1%","47.6","-3.7%"
"Cabarrus, NC","36","5.9%","67","30.7%","38.1","18.6%"
"Wythe, VA","53","11.5%","-","16.0%","45.9","-2.1%"
"Spartanburg, SC","38","8.6%","67","28.5%","37.7","12.1%"
"Yancey, NC","58","27.6%","-","24.6%","47.9","0.9%"
"Horry, SC","35","25.0%","75","27.9%","49.3","6.4%"
"Dillon, SC","46","17.7%","-","10.9%","37.5","-6.1%"
"Darlington, SC","45","15.4%","49","14.3%","41.5","-3.9%"
"Evans, GA","41","17.1%","54","12.5%","36.9","-0.7%"
"Emanuel, GA","49","17.2%","-","15.6%","38.6","0.4%"
"McDuffie, GA","37","12.3%","57","8.7%","39.1","1.5%"
"Pasco, FL","29","14.1%","71","35.4%","43.0","13.2%"
"Palm Beach, FL","36","16.6%","71","26.5%","45.6","5.2%"
"Glades, FL","34","31.0%","-","15.7%","45.8","-5.7%"
"Greenup, KY","60","10.1%","59","19.4%","43.9","-0.5%"
"Jay, IN","48","10.6%","-","19.5%","39.6","-3.6%"
"Wabash, IL","48","11.6%","-","21.0%","43.0","-2.9%"
"Hendricks, IN","42","2.2%","67","29.8%","39.1","12.2%"
"Magoffin, KY","39","16.5%","-","18.1%","41.9","-9.9%"
"Cocke, TN","39","15.4%","-","33.4%","45.4","1.7%"
"Owsley, KY","54","25.5%","-","0.0%","47.9","-8.8%"
"Boyle, KY","47","8.9%","-","28.5%","39.5","4.1%"
"Grundy, TN","38","17.8%","-","23.8%","42.9","-3.6%"
"Trousdale, TN","31","5.3%","41","25.3%","34.6","9.4%"
"Ben Hill, GA","46","11.9%","-","32.0%","38.5","1.9%"
"Suwannee, FL","44","18.3%","-","22.8%","42.5","-1.0%"
"Leon, FL","47","10.7%","60","21.8%","32.6","6.6%"
"Wakulla, FL","46","14.0%","59","15.4%","42.5","6.4%"
"Seminole, FL","32","6.5%","55","35.1%","40.1","5.4%"
"Seminole, GA","45","27.4%","-","8.6%","45.7","4.6%"
"Vigo, IN","53","10.0%","45","23.8%","35.9","-1.2%"
"Edwards, IL","44","12.8%","-","40.0%","44.6","-4.6%"
"Maury, TN","31","4.5%","53","25.8%","37.9","24.4%"
"Muhlenberg, KY","54","11.7%","-","29.4%","42.8","-1.7%"
"Colbert, AL","45","13.1%","73","24.7%","42.3","5.3%"
"Gallatin, KY","54","13.6%","54","21.0%","39.7","-3.5%"
"Gallatin, IL","56","16.3%","-","0.0%","47.3","-8.8%"
"Pope, IL","48","39.9%","-","0.0%","50.8","-19.5%"
"Tuscaloosa, AL","48","11.0%","67","14.8%","33.3","13.6%"
"Oktibbeha, MS","48","16.2%","53","16.3%","25.5","16.2%"
"Pontotoc, MS","46","17.0%","-","21.6%","35.7","10.2%"
"Leake, MS","57","18.4%","-","12.5%","40.0","-4.7%"
"Jefferson Davis, MS","40","22.6%","-","27.5%","45.7","-4.8%"
"Baldwin, GA","46","20.3%","-","27.2%","36.4","-1.4%"
"Baldwin, AL","37","22.0%","60","22.4%","44.3","16.3%"
"Queens, NY","48","5.8%","46","9.0%","41.3","5.9%"
"New York, NY","48","15.1%","35","11.5%","39.3","4.7%"
"Dauphin, PA","57","5.2%","63","20.2%","39.9","3.0%"
"District of Columbia, DC","30","8.8%","41","23.5%","34.9","14.8%"
"Juniata, PA","60","14.9%","-","10.0%","43.1","-5.8%"
"Arlington, VA","45","7.9%","33","25.4%","35.7","6.3%"
"Fredericksburg, VA","52","7.0%","50","17.2%","31.0","6.2%"
"Huntingdon, PA","56","23.3%","-","22.7%","43.5","-7.5%"
"Pasquotank, NC","51","12.3%","47","17.1%","39.0","2.6%"
"Norfolk, VA","52","9.9%","46","34.3%","33.0","6.3%"
"Pamlico, NC","51","27.7%","57","25.8%","54.1","-6.2%"
"New Kent, VA","48","4.8%","71","18.1%","43.4","14.8%"
"Southampton, VA","48","11.4%","-","40.0%","46.9","2.3%"
"Edgecombe, NC","42","16.0%","42","18.6%","41.7","-6.7%"
"Colonial Heights, VA","52","7.1%","48","13.5%","38.5","4.8%"
"Emporia, VA","53","21.4%","-","0.0%","39.5","17.6%"
"Powhatan, VA","54","5.8%","39","18.6%","45.3","10.4%"
"Fluvanna, VA","55","9.5%","40","17.6%","43.3","4.5%"
"Brunswick, VA","42","19.4%","-","18.6%","44.4","-3.4%"
"Brunswick, NC","40","29.1%","60","27.1%","57.6","11.5%"
"Allegheny, PA","49","10.1%","65","21.1%","40.6","1.0%"
"Tyler, WV","52","23.9%","-","0.0%","48.4","-17.2%"
"Mecklenburg, NC","37","7.6%","59","29.6%","35.6","13.1%"
"Mecklenburg, VA","55","30.1%","-","15.5%","48.8","1.3%"
