"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Cass, IL","37.9%","14.2%","100.0%","13.3%","1.2%","-"
"Cass, TX","45.3%","11.9%","-31.8%","22.2%","-5.0%","-"
"Cass, MO","26.6%","11.8%","12.0%","18.5%","6.4%","4.8%"
"Pottawatomie, OK","30.5%","9.4%","4.0%","27.9%","1.5%","6.7%"
"Pottawatomie, KS","-31.2%","-10.4%","-8.6%","14.0%","9.6%","2.8%"
"Marshall, OK","-3.6%","-0.9%","-11.7%","15.1%","-4.5%","-"
"Marshall, KS","6.6%","-8.5%","100.0%","18.1%","2.0%","-"
"Ellsworth, KS","7.3%","18.9%","400.0%","16.0%","1.1%","-"
"Mitchell, TX","10.3%","-8.5%","0.0%","11.7%","5.0%","-"
"Mitchell, KS","60.0%","-1.7%","0.0%","21.0%","-7.3%","-"
"Edwards, KS","0.0%","0.0%","-50.0%","0.0%","-3.6%","-"
"Rush, KS","18.5%","-3.0%","100.0%","20.0%","-4.6%","-"
"McIntosh, OK","21.6%","3.8%","0.0%","19.7%","-2.9%","-"
"Pittsburg, OK","35.8%","0.7%","-45.7%","21.3%","-1.6%","7.5%"
"Cowley, KS","7.5%","13.4%","-7.6%","14.3%","-3.1%","-"
"Kay, OK","23.6%","1.9%","30.0%","27.4%","-2.5%","8.6%"
"Dewey, OK","4.0%","4.0%","33.3%","0.0%","-9.8%","-"
"Woodward, OK","23.4%","-5.3%","-50.0%","19.4%","-3.3%","-"
"Pushmataha, OK","28.0%","-4.7%","-50.0%","8.7%","-2.9%","-"
"Houston, TX","1.3%","11.0%","-7.6%","6.0%","-3.9%","-"
"Wood, TX","25.1%","9.9%","31.9%","31.3%","5.2%","-"
"Hunt, TX","26.4%","-0.0%","2.7%","31.2%","17.4%","4.6%"
"Kaufman, TX","32.3%","5.5%","-5.5%","34.3%","44.3%","4.9%"
"Tarrant, TX","37.3%","10.3%","-10.5%","34.0%","4.7%","4.7%"
"Bosque, TX","9.1%","-5.3%","41.6%","26.4%","2.3%","5.8%"
"Erath, TX","34.5%","8.7%","-35.4%","22.1%","4.2%","4.1%"
"Brazoria, TX","22.4%","8.7%","-3.0%","23.0%","7.7%","4.9%"
"Milam, TX","16.1%","-4.0%","-18.7%","26.3%","2.4%","4.3%"
"DeWitt, TX","6.3%","20.7%","-66.6%","14.8%","-2.8%","-"
"Nueces, TX","40.1%","1.9%","-","24.9%","-2.7%","6.1%"
"Karnes, TX","84.6%","-5.8%","-50.0%","11.1%","-3.6%","-"
"Atascosa, TX","14.6%","10.8%","22.2%","27.7%","2.5%","4.1%"
"Cameron, LA","16.0%","-6.0%","-50.0%","15.0%","-23.9%","5.6%"
"Cameron, TX","25.2%","0.2%","-5.1%","18.5%","0.6%","8.1%"
"Zapata, TX","22.0%","5.8%","0.0%","22.2%","-3.5%","-"
"Hitchcock, NE","88.8%","13.3%","0.0%","21.0%","-8.5%","-"
"Kiowa, OK","104.5%","-3.2%","500.0%","7.4%","-6.0%","-"
"Kiowa, KS","400.0%","11.1%","0.0%","0.0%","-4.1%","-"
"Kiowa, CO","157.1%","0.0%","0.0%","0.0%","-6.4%","-"
"Cottle, TX","0.0%","-27.2%","200.0%","0.0%","-19.7%","-"
"Tom Green, TX","77.6%","2.0%","-99.3%","21.3%","0.7%","5.3%"
"Nolan, TX","-7.8%","2.1%","42.8%","8.2%","-2.6%","-"
"Sterling, TX","14.2%","33.3%","0.0%","0.0%","21.7%","-"
"Crosby, TX","-5.5%","6.2%","0.0%","19.0%","-13.4%","9.7%"
"Lubbock, TX","-2.9%","6.9%","-10.7%","20.3%","4.4%","6.9%"
"Lea, NM","-35.5%","-10.0%","-1.7%","8.6%","3.5%","6.7%"
"Dimmit, TX","26.3%","6.6%","0.0%","14.8%","-20.2%","-"
"Menard, TX","200.0%","50.0%","0.0%","0.0%","-7.4%","-"
"Val Verde, TX","16.5%","-1.0%","3.8%","17.5%","-2.8%","9.0%"
"Teller, CO","41.6%","21.7%","-","31.6%","2.7%","4.3%"
"Bernalillo, NM","38.1%","7.4%","-","30.1%","-1.0%","5.0%"
"Montrose, CO","7.8%","3.7%","-13.7%","18.1%","4.8%","4.9%"
"Wasatch, UT","27.1%","12.3%","0.9%","13.0%","17.3%","2.7%"
"Sanpete, UT","40.4%","1.0%","-10.5%","22.5%","-0.5%","-"
"Catron, NM","15.6%","2.7%","-25.0%","9.5%","4.1%","-"
"Garfield, CO","78.1%","14.4%","-10.5%","17.6%","5.9%","6.1%"
"Garfield, OK","8.0%","6.7%","-10.6%","32.9%","0.2%","9.6%"
"Randolph, AR","48.3%","2.7%","-22.2%","10.8%","6.4%","-"
"Randolph, MO","-22.7%","0.0%","12.5%","19.0%","-1.6%","-"
"Randolph, IL","-11.8%","-5.7%","38.4%","23.1%","-7.3%","-"
"Fulton, AR","62.0%","4.5%","22.2%","12.9%","0.8%","-"
"Fulton, IL","22.6%","-3.6%","53.3%","29.6%","-6.0%","-"
"Tipton, TN","51.0%","11.5%","-21.4%","22.6%","-0.1%","5.2%"
"Craighead, AR","21.8%","-1.4%","0.7%","20.3%","5.0%","7.9%"
"Ripley, MO","-3.6%","-4.8%","-91.6%","21.4%","-21.4%","-"
"Lawrence, AR","15.3%","7.1%","-12.5%","11.4%","-2.4%","-"
"Lawrence, MO","52.3%","13.8%","-21.7%","20.4%","0.6%","5.3%"
"Lawrence, MS","-13.5%","-13.5%","-57.1%","0.0%","-5.9%","-"
"Hinds, MS","6.2%","0.2%","-36.1%","23.9%","-9.3%","13.3%"
"Copiah, MS","78.7%","0.0%","-37.5%","15.3%","-2.5%","8.8%"
"St. Helena, LA","-14.2%","-17.2%","0.0%","0.0%","4.2%","6.9%"
"Ascension, LA","30.2%","6.2%","-10.1%","21.9%","5.5%","5.5%"
"East Baton Rouge, LA","19.8%","4.9%","-21.4%","22.7%","1.7%","7.0%"
"Pike, MS","36.7%","18.4%","-23.8%","11.1%","0.4%","-"
"Pike, AR","-0.8%","-11.2%","-66.6%","20.3%","-5.7%","-"
"Pike, IL","5.7%","17.9%","200.0%","12.6%","-7.1%","-"
"Pike, MO","-10.8%","4.7%","0.0%","22.2%","-4.6%","-"
"Monroe, IL","41.0%","-5.9%","68.1%","17.6%","3.0%","3.2%"
"Monroe, AR","83.3%","0.0%","-66.6%","0.0%","-7.8%","-"
"Monroe, MO","9.5%","27.7%","60.0%","23.5%","0.2%","-"
"Camden, MO","49.6%","7.6%","1.5%","29.6%","-3.7%","5.0%"
"Livingston, LA","13.9%","3.9%","-10.7%","22.4%","7.5%","5.8%"
"Livingston, MO","24.2%","7.8%","0.0%","8.3%","-4.9%","-"
"St. Clair, IL","35.3%","15.5%","-4.2%","15.7%","-3.8%","8.1%"
"St. Clair, MO","30.4%","25.0%","50.0%","11.4%","0.7%","-"
"Wyandotte, KS","38.9%","11.8%","0.0%","24.5%","-0.0%","7.0%"
"Doniphan, KS","40.0%","16.6%","66.6%","40.0%","-3.1%","5.6%"
"White, AR","39.2%","14.0%","17.9%","19.5%","-0.3%","5.5%"
"Howell, MO","36.5%","8.3%","-12.1%","15.9%","0.1%","-"
"Webster, NE","55.5%","86.6%","0.0%","0.0%","-5.2%","-"
"Webster, LA","9.0%","7.5%","50.0%","24.5%","-8.6%","-"
"Webster, MO","42.6%","7.1%","2.7%","21.6%","4.6%","4.6%"
"Newton, TX","71.4%","-2.0%","0.0%","10.5%","-13.2%","-"
"Newton, MO","44.8%","7.7%","23.8%","33.0%","2.2%","4.5%"
"Newton, AR","38.6%","8.2%","-50.0%","12.9%","-8.5%","-"
"Stone, AR","34.2%","13.6%","-18.1%","14.0%","0.2%","-"
"Stone, MO","52.5%","12.0%","-23.0%","25.3%","0.5%","-"
"Montgomery, MO","-26.5%","12.5%","57.1%","25.0%","-1.0%","-"
"Montgomery, KS","7.6%","10.9%","-40.7%","22.6%","-5.5%","11.2%"
"Montgomery, TX","34.8%","9.4%","-12.7%","26.7%","20.3%","4.6%"
"Montgomery, AR","28.7%","7.6%","-16.6%","6.4%","-4.6%","-"
"Cedar, MO","27.0%","12.5%","-11.7%","19.5%","3.6%","-"
"Crawford, MO","18.8%","10.0%","-27.7%","19.2%","-5.7%","-"
"Crawford, KS","120.3%","17.2%","0.0%","18.1%","-0.3%","7.3%"
"Crawford, AR","24.7%","12.5%","-14.6%","33.6%","-2.6%","5.2%"
"Ouachita, AR","1.7%","4.5%","-41.1%","14.8%","-7.4%","-"
"Ouachita, LA","12.9%","5.2%","1.6%","24.6%","2.0%","7.1%"
"Winn, LA","21.2%","0.0%","100.0%","0.0%","-6.8%","-"
"Sevier, AR","-4.7%","-6.9%","100.0%","17.3%","-8.1%","-"
"San Augustine, TX","-3.1%","17.9%","100.0%","22.2%","-5.2%","-"
"Bowie, TX","38.0%","1.9%","-12.1%","21.9%","-2.7%","6.8%"
"Nacogdoches, TX","30.5%","-0.5%","10.7%","21.6%","-0.5%","5.8%"
"Gregg, TX","21.4%","2.1%","3.0%","24.3%","2.0%","6.6%"
"Upshur, TX","26.0%","4.9%","-27.0%","33.4%","2.6%","5.2%"
"Calcasieu, LA","14.5%","2.8%","-20.6%","21.3%","0.3%","6.2%"
"Tyler, TX","16.6%","-2.2%","-35.2%","19.0%","-6.5%","-"
"Galveston, TX","29.6%","4.5%","2.6%","25.1%","7.0%","4.8%"
"Richardson, NE","26.5%","12.7%","-50.0%","0.0%","-2.6%","-"
"Mills, TX","30.4%","7.1%","25.0%","10.8%","-8.2%","-"
"Riley, KS","30.9%","5.8%","11.8%","20.5%","-3.1%","3.7%"
"Rice, KS","7.4%","7.4%","-90.0%","20.0%","-3.8%","-"
"Franklin, KS","58.0%","31.9%","-28.5%","29.6%","1.6%","4.2%"
"Franklin, TX","51.7%","12.6%","0.0%","25.7%","-1.4%","-"
"Franklin, MS","85.7%","-7.1%","100.0%","21.0%","-1.3%","-"
"Franklin, MO","8.3%","4.1%","-17.2%","13.9%","2.6%","4.8%"
"Franklin, AR","35.0%","2.6%","-33.3%","26.9%","-3.1%","-"
"Franklin, LA","-18.4%","6.9%","33.3%","26.0%","-3.6%","-"
"Franklin, NE","-55.5%","-11.1%","50.0%","0.0%","-4.5%","-"
"Ellis, TX","7.9%","4.6%","0.0%","31.8%","24.1%","4.7%"
"Ellis, OK","-20.0%","0.0%","0.0%","0.0%","-8.7%","-"
"Ellis, KS","33.3%","16.6%","25.0%","18.3%","-0.0%","4.9%"
"Muskogee, OK","27.8%","8.4%","-21.7%","21.4%","-2.4%","7.1%"
"Coal, OK","33.3%","7.6%","100.0%","26.6%","-6.1%","-"
"Seminole, OK","86.3%","8.8%","-25.0%","10.9%","-6.0%","-"
"Oklahoma, OK","33.5%","4.9%","-3.3%","28.7%","2.0%","6.9%"
"Major, OK","-39.3%","17.6%","66.6%","26.6%","-0.8%","-"
"Alfalfa, OK","23.8%","13.0%","0.0%","0.0%","-2.9%","-"
"Washita, OK","30.6%","-7.5%","-50.0%","12.9%","-5.0%","10.2%"
"Custer, CO","55.7%","10.3%","0.0%","13.9%","9.3%","-"
"Custer, OK","28.3%","0.0%","5.8%","18.3%","-3.0%","5.8%"
"Henderson, TX","23.0%","10.0%","-18.1%","25.8%","4.6%","5.8%"
"Falls, TX","79.2%","20.0%","233.3%","25.0%","-1.3%","7.1%"
"Love, OK","52.0%","5.5%","12.5%","26.0%","2.6%","-"
"Somervell, TX","11.8%","-6.9%","-38.4%","10.5%","8.7%","-"
"Shackelford, TX","-37.9%","-21.7%","-66.6%","0.0%","-4.2%","-"
"Brazos, TX","19.0%","1.1%","7.4%","21.1%","7.9%","4.8%"
"Colorado, TX","2.9%","0.7%","55.5%","23.5%","-1.3%","-"
"Victoria, TX","22.2%","10.2%","-1.5%","29.2%","-0.4%","5.6%"
"Refugio, TX","55.5%","-16.0%","0.0%","8.5%","-7.5%","-"
"San Patricio, TX","12.0%","-14.2%","-","21.8%","5.6%","6.5%"
"Kleberg, TX","26.0%","12.2%","-31.2%","23.3%","-2.5%","12.6%"
"Hays, TX","12.7%","6.4%","-6.3%","33.4%","25.9%","2.9%"
"Wilson, KS","23.6%","1.4%","12.5%","24.4%","-2.5%","-"
"Wilson, TX","27.0%","5.0%","-22.0%","34.8%","6.8%","2.2%"
"Bexar, TX","20.5%","6.9%","-8.6%","30.8%","5.1%","5.2%"
"Bandera, TX","39.2%","6.0%","10.5%","22.2%","-0.7%","2.8%"
"Scott, AR","26.0%","21.0%","33.3%","16.0%","-5.7%","-"
"Scott, IL","50.0%","-25.0%","200.0%","0.0%","-3.9%","10.3%"
"Scott, KS","-50.0%","-20.0%","0.0%","0.0%","2.4%","-"
"Thomas, KS","36.3%","11.1%","100.0%","0.0%","1.1%","-"
"Rawlins, KS","-89.4%","0.0%","100.0%","0.0%","0.9%","-"
"Cheyenne, CO","500.0%","-7.6%","100.0%","0.0%","-15.0%","-"
"Cheyenne, KS","6.6%","-28.8%","-","20.0%","-1.8%","-"
"Yuma, CO","18.1%","-7.1%","-33.3%","0.0%","-1.4%","-"
"Greer, OK","48.0%","5.7%","50.0%","17.0%","-7.4%","-"
"Briscoe, TX","0.0%","0.0%","0.0%","0.0%","-20.8%","-"
"Bent, CO","88.8%","-15.0%","25.0%","0.0%","-4.9%","-"
"Curry, NM","54.6%","10.2%","27.9%","22.3%","-4.5%","8.1%"
"Taylor, IA","78.5%","13.6%","33.3%","22.8%","-4.8%","-"
"Taylor, TX","3.1%","0.0%","5.4%","21.6%","6.6%","7.5%"
"Runnels, TX","42.8%","8.9%","-80.0%","14.2%","-4.1%","-"
"Motley, TX","-100.0%","-100.0%","100.0%","0.0%","9.6%","-"
"Irion, TX","-25.0%","50.0%","-50.0%","133.3%","-6.0%","4.6%"
"Floyd, TX","20.0%","0.0%","0.0%","21.0%","-9.8%","-"
"Midland, TX","23.7%","7.2%","0.0%","43.8%","2.6%","4.9%"
"Terry, TX","44.0%","4.3%","66.6%","18.6%","-7.2%","-"
"Ward, TX","36.5%","-12.2%","-58.3%","25.5%","-2.8%","-"
"Roosevelt, NM","-2.7%","-4.7%","70.0%","17.9%","-0.6%","7.9%"
"Zavala, TX","36.0%","9.6%","50.0%","0.0%","-21.4%","-"
"Pecos, TX","6.0%","2.9%","200.0%","28.5%","-5.1%","-"
"Brewster, TX","2.2%","18.1%","20.0%","17.2%","2.6%","-"
"Arapahoe, CO","68.8%","19.3%","11.7%","39.9%","0.7%","4.0%"
"Chaffee, CO","42.1%","25.5%","-32.6%","18.4%","3.7%","3.6%"
"Gunnison, CO","11.1%","17.9%","0.0%","7.9%","3.7%","-"
"Pitkin, CO","22.1%","-6.7%","-21.1%","2.4%","-4.4%","1.8%"
"Huerfano, CO","32.7%","21.9%","10.0%","9.5%","5.5%","-"
"Rio Arriba, NM","50.7%","4.9%","14.2%","17.0%","2.1%","-"
"Mineral, CO","21.4%","41.6%","0.0%","21.0%","-2.9%","-"
"Otero, CO","32.2%","4.4%","27.2%","24.2%","0.7%","-"
"Otero, NM","60.9%","11.3%","5.3%","13.3%","3.0%","7.3%"
"Socorro, NM","-15.0%","-11.4%","-54.5%","9.0%","-4.0%","-"
"Sierra, NM","41.4%","-4.9%","-18.1%","11.5%","3.3%","-"
"Culberson, TX","60.0%","0.0%","0.0%","0.0%","-2.6%","-"
"San Juan, CO","-31.8%","25.0%","0.0%","0.0%","26.8%","-"
"San Juan, UT","25.4%","7.2%","-75.0%","17.0%","-5.3%","-"
"San Juan, NM","25.9%","0.7%","15.0%","20.8%","-3.4%","5.4%"
"Luna, NM","75.3%","-3.7%","40.0%","22.7%","4.7%","-"
"Apache, AZ","10.7%","20.1%","13.3%","17.0%","-9.4%","-"
"Mason, TX","11.4%","9.6%","-33.3%","10.2%","-5.0%","-"
"Mason, IL","-18.3%","8.1%","23.0%","21.0%","-6.5%","-"
"Knox, TX","62.1%","3.4%","-50.0%","21.6%","-11.0%","-"
"Knox, MO","-12.0%","4.7%","300.0%","0.0%","-4.8%","-"
"Brown, KS","94.1%","22.2%","166.6%","17.7%","-2.5%","-"
"Brown, TX","0.5%","11.6%","15.1%","20.5%","1.2%","6.9%"
"Brown, IL","40.0%","2.4%","100.0%","12.5%","-5.3%","-"
"Perry, AR","62.5%","18.1%","-44.4%","11.7%","-2.4%","6.0%"
"Perry, MO","70.5%","-1.6%","-8.3%","25.5%","-1.0%","-"
"DeSoto, MS","15.5%","-1.3%","11.5%","23.8%","6.1%","6.4%"
"Crittenden, AR","29.4%","2.1%","24.3%","13.7%","-2.8%","8.1%"
"St. Francis, AR","9.3%","14.7%","-40.0%","8.6%","-13.5%","-"
"Reynolds, MO","-27.2%","10.3%","-50.0%","17.3%","-4.0%","-"
"Carroll, MO","37.9%","0.0%","-20.0%","0.0%","-4.3%","-"
"Carroll, AR","26.9%","13.0%","-6.4%","18.8%","2.2%","-"
"Carroll, MS","-18.9%","-3.2%","200.0%","18.1%","-2.9%","-"
"Holmes, MS","0.0%","30.0%","0.0%","0.0%","-8.7%","13.3%"
"Walthall, MS","2.4%","-16.0%","0.0%","14.2%","-5.0%","-"
"Coahoma, MS","-10.4%","5.2%","33.3%","9.7%","-12.5%","-"
"Sunflower, MS","65.2%","10.1%","25.0%","8.1%","-4.5%","-"
"St. Tammany, LA","20.7%","4.9%","2.2%","28.8%","6.7%","-"
"St. John the Baptist, LA","1.9%","-4.1%","-30.0%","19.0%","-4.8%","9.2%"
"Assumption, LA","12.5%","22.0%","-11.1%","17.3%","-8.7%","6.9%"
"Adams, MS","17.6%","4.0%","136.3%","10.0%","-7.7%","-"
"Adams, CO","59.1%","11.8%","-4.6%","37.6%","4.1%","4.0%"
"Adams, NE","84.2%","12.9%","14.2%","16.6%","-1.7%","-"
"Adams, IL","-15.8%","-2.1%","-1.4%","19.8%","-0.7%","5.2%"
"Lee, AR","100.0%","0.0%","-50.0%","0.0%","-9.4%","-"
"Lee, TX","48.8%","0.0%","-69.2%","26.3%","4.7%","-"
"Lee, IA","67.1%","2.8%","42.1%","16.8%","-3.9%","-"
"Gasconade, MO","17.9%","-6.1%","62.5%","17.3%","0.1%","-"
"Audrain, MO","-23.4%","8.8%","-23.0%","18.4%","-4.0%","-"
"Osage, KS","70.7%","2.9%","25.0%","25.8%","-0.6%","4.4%"
"Osage, OK","15.8%","17.1%","15.7%","27.5%","-2.8%","5.6%"
"Osage, MO","52.3%","14.2%","20.0%","15.3%","-1.7%","2.8%"
"Scotland, MO","128.5%","60.0%","0.0%","0.0%","-4.0%","-"
"Moniteau, MO","127.2%","28.2%","50.0%","31.5%","-4.1%","3.9%"
"Howard, TX","-5.6%","1.9%","0.0%","21.6%","-9.6%","9.3%"
"Howard, AR","14.6%","-3.3%","-18.1%","15.6%","-5.1%","-"
"Howard, MO","41.9%","-16.9%","166.6%","41.3%","0.2%","4.6%"
"Linn, KS","42.8%","8.9%","-25.0%","31.5%","0.9%","6.0%"
"Linn, MO","40.0%","2.4%","-42.8%","22.6%","-2.7%","-"
"Harrison, TX","14.6%","2.6%","-18.3%","27.3%","6.2%","5.9%"
"Harrison, MO","-28.0%","-30.7%","0.0%","0.0%","-4.1%","-"
"Ringgold, IA","24.0%","37.7%","-50.0%","10.0%","-6.4%","-"
"Platte, MO","54.0%","8.9%","-12.1%","18.1%","8.6%","4.1%"
"Dent, MO","60.0%","27.1%","-38.8%","26.9%","-6.4%","-"
"Prairie, AR","-46.1%","-26.3%","100.0%","0.0%","-0.9%","-"
"Lonoke, AR","58.9%","-4.5%","10.5%","26.5%","3.1%","6.5%"
"Taney, MO","33.7%","8.2%","-21.4%","26.3%","3.0%","5.4%"
"Sebastian, AR","25.5%","5.6%","-1.6%","30.3%","1.0%","5.8%"
"Sequoyah, OK","28.8%","17.8%","30.0%","24.3%","-4.0%","5.7%"
"Bourbon, KS","-7.9%","1.7%","-53.8%","13.1%","-2.1%","-"
"Latimer, OK","12.0%","3.6%","-25.0%","12.9%","-9.5%","-"
"Labette, KS","32.5%","-4.0%","30.7%","13.3%","-2.0%","-"
"Desha, AR","71.4%","-7.6%","-33.3%","34.7%","-7.1%","-"
"Chicot, AR","-40.0%","-14.2%","50.0%","0.0%","-7.6%","-"
"Union, LA","48.2%","7.5%","-30.0%","25.0%","-6.9%","6.8%"
"Union, NM","38.4%","0.0%","-66.6%","0.0%","-3.2%","-"
"Union, AR","-3.0%","-2.3%","45.0%","12.3%","-3.4%","-"
"Dallas, TX","49.3%","6.6%","-11.2%","35.1%","-1.1%","5.2%"
"Dallas, MO","78.7%","3.5%","14.2%","24.3%","5.1%","4.6%"
"Dallas, AR","-4.0%","-11.1%","100.0%","0.0%","-14.5%","-"
"Hot Spring, AR","38.2%","-1.1%","-9.5%","20.5%","-1.1%","-"
"Red River, TX","29.2%","-0.9%","50.0%","19.6%","-5.3%","8.1%"
"Red River, LA","0.0%","-33.3%","100.0%","57.1%","-12.6%","-"
"Caddo, OK","21.8%","-15.6%","11.1%","22.6%","-9.2%","-"
"Caddo, LA","11.1%","0.4%","0.5%","25.3%","-6.8%","11.1%"
"Iberville, LA","40.0%","2.6%","0.0%","27.4%","-9.1%","7.0%"
"Jefferson Davis, LA","23.9%","14.2%","-22.7%","25.2%","1.9%","6.9%"
"Beauregard, LA","-2.4%","-8.2%","-9.5%","18.7%","-0.3%","9.8%"
"Orange, TX","5.2%","-1.9%","20.0%","18.1%","2.5%","7.3%"
"Hardin, TX","-0.9%","-1.8%","-7.6%","28.2%","1.3%","5.5%"
"Nemaha, NE","30.4%","3.4%","-50.0%","0.0%","0.4%","-"
"Nemaha, KS","81.8%","53.8%","-50.0%","28.5%","1.0%","-"
"Reno, KS","8.4%","-2.1%","-76.6%","23.6%","-2.2%","4.8%"
"Hall, TX","87.5%","-6.2%","400.0%","0.0%","-8.0%","-"
"McClain, OK","29.9%","5.6%","-14.0%","33.6%","13.3%","4.2%"
"Sedgwick, KS","47.0%","8.2%","-0.1%","17.7%","2.8%","5.1%"
"Kingman, KS","-21.9%","3.2%","100.0%","16.6%","-2.4%","-"
"Delta, CO","31.6%","12.3%","-28.9%","28.5%","3.3%","5.1%"
"Delta, TX","14.8%","12.7%","-50.0%","34.2%","2.4%","-"
"Wise, TX","26.4%","10.4%","4.9%","35.1%","14.3%","3.4%"
"Coryell, TX","28.2%","4.3%","-17.5%","26.0%","13.4%","5.6%"
"Cotton, OK","144.4%","4.7%","-50.0%","0.0%","-7.6%","9.5%"
"Archer, TX","-22.8%","-24.1%","42.8%","13.7%","-0.6%","3.8%"
"Throckmorton, TX","50.0%","-25.0%","100.0%","0.0%","1.4%","-"
"Baylor, TX","19.0%","-9.0%","0.0%","12.5%","-3.5%","-"
"McCulloch, TX","34.4%","23.8%","16.6%","18.1%","-6.5%","-"
"Williamson, TX","39.9%","15.1%","-14.8%","37.4%","23.0%","3.6%"
"Burnet, TX","8.7%","9.1%","-47.1%","28.1%","11.6%","3.3%"
"Blanco, TX","27.5%","10.1%","9.0%","19.3%","6.4%","1.8%"
"Furnas, NE","18.7%","65.2%","0.0%","34.7%","-3.7%","-"
"Lane, KS","-42.8%","100.0%","0.0%","0.0%","-8.8%","-"
"Gray, KS","63.6%","9.0%","-50.0%","21.0%","-5.6%","-"
"Gray, TX","69.9%","8.1%","-4.7%","12.6%","-6.8%","-"
"Haskell, TX","-15.3%","-12.0%","-20.0%","14.2%","-7.2%","-"
"Haskell, OK","68.9%","12.6%","-71.4%","19.3%","-8.1%","-"
"Haskell, KS","41.6%","0.0%","50.0%","20.0%","-8.6%","-"
"Hardeman, TX","100.0%","-6.9%","0.0%","0.0%","-10.7%","-"
"Concho, TX","25.0%","17.6%","-50.0%","20.0%","-22.0%","-"
"Lynn, TX","-22.5%","-4.0%","-66.6%","25.0%","-2.4%","6.1%"
"Dawson, TX","-35.8%","30.0%","-12.5%","12.5%","-5.0%","-"
"Hockley, TX","-20.6%","0.0%","-58.3%","25.6%","-7.3%","6.3%"
"Cochran, TX","500.0%","0.0%","100.0%","0.0%","-13.2%","15.5%"
"Webb, TX","13.6%","3.3%","-27.6%","21.4%","-2.4%","5.8%"
"Maverick, TX","58.2%","7.6%","-29.1%","12.9%","-0.3%","7.4%"
"El Paso, TX","11.2%","5.5%","2.1%","14.4%","3.4%","6.7%"
"El Paso, CO","47.3%","15.1%","-","34.9%","4.2%","4.5%"
"Pueblo, CO","26.3%","3.4%","-9.0%","32.2%","1.1%","5.4%"
"Boulder, CO","42.6%","18.4%","3.3%","30.1%","0.2%","3.3%"
"Park, CO","79.5%","22.8%","-12.0%","29.2%","1.9%","4.2%"
"Quay, NM","-6.6%","-9.6%","100.0%","0.0%","2.9%","-"
"San Miguel, CO","19.2%","-2.9%","-33.3%","8.0%","0.7%","-"
"San Miguel, NM","8.1%","21.8%","-87.5%","11.4%","-3.5%","-"
"Costilla, CO","-18.7%","0.0%","0.0%","13.7%","-3.1%","-"
"Conejos, CO","40.4%","17.8%","-85.7%","11.1%","-7.4%","-"
"Jeff Davis, TX","39.2%","18.1%","-75.0%","20.5%","-22.1%","-"
"Rio Blanco, CO","8.4%","45.4%","-37.5%","20.5%","0.8%","-"
"Mesa, CO","43.0%","13.8%","0.7%","21.2%","4.2%","4.4%"
"Carbon, UT","2.2%","-2.6%","70.5%","28.0%","0.4%","-"
"Montezuma, CO","29.7%","19.1%","-38.8%","21.6%","1.1%","4.5%"
"Grant, AR","39.4%","4.9%","30.7%","18.1%","0.1%","5.0%"
"Grant, OK","5.8%","0.0%","66.6%","0.0%","-6.3%","-"
"Grant, LA","-1.5%","4.9%","-25.0%","17.0%","-1.0%","7.0%"
"Grant, KS","-48.1%","-33.3%","100.0%","0.0%","-4.3%","-"
"Grant, NM","13.0%","9.1%","-23.0%","16.3%","-0.7%","-"
"Gila, AZ","35.1%","14.0%","-27.0%","28.6%","0.3%","5.7%"
"Beaver, OK","12.5%","0.0%","200.0%","25.0%","-6.9%","-"
"Morgan, MO","66.8%","20.3%","-38.2%","34.0%","6.4%","-"
"Morgan, CO","74.1%","4.5%","-12.9%","24.1%","3.2%","-"
"Morgan, IL","58.4%","29.2%","-21.2%","14.1%","-5.2%","6.8%"
"Greene, AR","37.1%","11.0%","-8.1%","12.2%","3.4%","8.4%"
"Greene, MO","54.6%","7.6%","-1.0%","20.1%","4.3%","6.2%"
"Greene, IL","37.1%","0.0%","100.0%","11.1%","-10.4%","-"
"Schuyler, MO","0.0%","20.0%","0.0%","0.0%","-10.1%","2.5%"
"Schuyler, IL","-36.0%","6.6%","-33.3%","0.0%","-3.3%","-"
"Washington, OK","17.5%","0.0%","-9.0%","27.3%","1.7%","7.1%"
"Washington, CO","12.8%","-4.3%","-71.4%","16.0%","-0.0%","-"
"Washington, MS","47.3%","6.3%","-73.3%","23.5%","-7.2%","-"
"Washington, LA","11.3%","7.6%","37.5%","29.6%","-2.6%","-"
"Washington, AR","30.1%","6.5%","-0.5%","20.2%","10.3%","4.9%"
"Washington, KS","140.0%","-20.0%","0.0%","0.0%","-0.1%","-"
"Washington, TX","44.0%","2.8%","-15.3%","29.8%","3.9%","4.0%"
"Washington, MO","7.0%","4.1%","58.3%","32.2%","-5.8%","-"
"Tate, MS","5.4%","-7.1%","-8.0%","24.6%","-1.2%","4.9%"
"Stoddard, MO","10.5%","14.6%","-11.1%","19.2%","-3.2%","-"
"Butler, KS","40.2%","5.3%","-23.9%","19.4%","2.7%","4.4%"
"Butler, MO","-10.1%","-1.6%","-9.5%","24.8%","-1.3%","-"
"Cross, AR","39.5%","-25.0%","18.1%","25.5%","-1.8%","-"
"Humphreys, MS","-20.0%","0.0%","-50.0%","0.0%","-11.3%","-"
"Phillips, CO","77.7%","29.7%","500.0%","14.8%","4.0%","-"
