"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Tuscarawas, OH","39","10.6%","$200,976","5.8%","-20.1%","91,874"
"Meigs, TN","80","40.3%","$287,015","3.9%","58.7%","13,076"
"Meigs, OH","52","23.0%","$103,678","-0.8%","24.5%","22,072"
"Cabell, WV","39","-22.3%","$158,468","9.7%","-36.1%","92,082"
"Bladen, NC","72","11.2%","$151,633","0.5%","-8.5%","29,591"
"Buckingham, VA","23","-54.9%","$254,988","3.0%","-17.9%","16,914"
"Charlotte, VA","55","0.9%","$178,102","1.1%","-6.4%","11,475"
"Granville, NC","46","12.2%","$315,706","1.7%","76.9%","61,439"
"Cumberland, TN","66","11.8%","$293,936","0.9%","56.1%","62,529"
"Cumberland, KY","89","12.3%","$150,132","5.2%","30.6%","5,948"
"Cumberland, IL","29","-33.7%","$164,768","-3.3%","-42.4%","10,378"
"Cumberland, NC","50","33.3%","$225,991","1.8%","32.2%","337,890"
"Chatham, GA","57","37.3%","$351,851","0.6%","24.6%","303,655"
"Chatham, NC","47","-14.5%","$564,168","0.9%","22.6%","81,624"
"Danville, VA","54","-6.5%","$130,610","3.5%","11.1%","42,239"
"Guilford, NC","43","11.6%","$272,141","1.0%","16.3%","549,866"
"Yadkin, NC","46","22.6%","$227,583","5.3%","24.1%","37,419"
"Summers, WV","44","-49.1%","$145,065","7.3%","-36.9%","11,833"
"Ashe, NC","47","9.9%","$349,422","-0.7%","-6.3%","26,831"
"Caldwell, KY","68","121.3%","$150,205","7.5%","-17.7%","12,631"
"Caldwell, NC","43","8.1%","$230,505","2.9%","52.6%","80,574"
"Greenville, SC","44","10.6%","$334,647","0.7%","33.9%","558,036"
"Wise, VA","62","47.6%","$124,801","4.5%","-10.3%","35,727"
"Columbus, NC","61","2.5%","$188,486","-2.5%","9.1%","50,453"
"Bamberg, SC","37","-39.1%","$129,349","-0.9%","-28.0%","13,164"
"Newberry, SC","66","34.0%","$207,591","1.2%","22.1%","38,121"
"Saluda, SC","67","36.7%","$209,660","3.5%","40.2%","18,958"
"Candler, GA","34","-17.0%","$203,030","8.5%","77.7%","10,972"
"Appling, GA","87","-7.9%","$158,836","1.4%","27.8%","18,426"
"Ross, OH","46","97.8%","$192,742","4.5%","-14.2%","76,501"
"Elliott, KY","80","93.8%","$155,811","13.1%","-36.6%","7,336"
"Bracken, KY","59","252.2%","$172,303","6.2%","100.0%","8,427"
"Bourbon, KY","45","-16.6%","$243,354","4.6%","-6.8%","20,174"
"Preble, OH","52","144.7%","$221,834","4.3%","-1.5%","40,802"
"Meade, KY","39","23.8%","$258,770","10.7%","68.6%","30,032"
"Transylvania, NC","59","26.8%","$478,399","3.9%","0.2%","33,243"
"Rabun, GA","73","49.7%","$405,352","3.1%","7.9%","17,107"
"Swain, NC","70","6.1%","$324,549","2.6%","24.0%","14,065"
"Whitley, KY","73","13.7%","$150,589","3.8%","30.1%","36,755"
"Fentress, TN","77","5.5%","$238,335","6.5%","29.3%","18,948"
"Putnam, WV","33","14.7%","$235,037","6.3%","-45.5%","57,250"
"Putnam, GA","70","44.3%","$411,959","3.0%","17.0%","22,524"
"Putnam, IN","45","0.0%","$262,730","4.2%","43.2%","37,091"
"Putnam, TN","58","15.4%","$305,854","1.1%","62.8%","83,844"
"White, IN","32","-0.7%","$217,055","6.0%","17.9%","24,709"
"White, IL","57","-15.5%","$109,738","-3.7%","-18.4%","13,708"
"White, GA","62","56.9%","$317,838","2.7%","48.2%","28,454"
"White, TN","71","78.4%","$262,017","4.9%","81.3%","27,764"
"Dade, GA","74","119.2%","$242,911","3.0%","57.1%","16,196"
"Wilson, TN","41","54.7%","$506,040","1.4%","38.8%","163,674"
"Warren, IN","34","-44.1%","$222,746","3.9%","36.1%","8,469"
"Warren, OH","37","18.7%","$405,564","3.8%","-18.0%","252,148"
"Warren, TN","66","48.8%","$246,080","1.5%","82.4%","41,587"
"Warren, GA","51","-7.6%","$97,458","-2.9%","30.2%","5,175"
"Warren, KY","59","11.4%","$292,295","2.7%","51.2%","142,229"
"Sumner, TN","40","56.8%","$441,255","0.9%","57.0%","207,994"
"Moore, NC","50","16.2%","$415,515","1.9%","30.8%","106,898"
"Moore, TN","82","19.7%","$340,633","2.7%","62.7%","6,611"
"Dodge, GA","81","15.2%","$130,963","-4.0%","14.8%","19,909"
"Crawford, IL","49","-11.0%","$127,217","3.5%","-34.0%","18,588"
"Crawford, IN","44","10.1%","$159,631","9.1%","1.0%","10,494"
"Crawford, GA","35","52.1%","$191,809","1.3%","-26.5%","12,183"
"Monroe, MS","65","14.0%","$159,096","5.0%","38.2%","33,928"
"Monroe, OH","54","-65.1%","$141,722","3.0%","51.8%","13,308"
"Monroe, WV","54","-22.0%","$173,377","9.5%","-27.4%","12,401"
"Monroe, IN","44","24.8%","$311,406","3.2%","30.6%","139,342"
"Monroe, TN","61","16.1%","$272,009","0.4%","32.0%","47,054"
"Monroe, KY","79","-22.2%","$142,102","10.6%","1.4%","11,318"
"Monroe, GA","67","26.4%","$325,787","4.4%","-10.3%","28,919"
"Butts, GA","51","26.2%","$283,644","0.4%","67.4%","26,074"
"Rockdale, GA","53","16.4%","$312,379","-2.3%","47.6%","95,987"
"Cobb, GA","40","33.3%","$436,841","-1.5%","31.2%","776,743"
"Meriwether, GA","71","104.3%","$200,082","-0.0%","36.8%","20,757"
"Troup, GA","66","4.8%","$228,280","3.3%","52.3%","70,742"
"Russell, VA","94","159.3%","$132,629","-3.7%","-1.2%","25,635"
"Russell, KY","70","79.3%","$163,469","9.7%","41.1%","18,117"
"Russell, AL","45","13.9%","$187,287","5.3%","-9.5%","58,858"
"Quitman, GA","78","-48.5%","$103,585","-10.6%","68.0%","2,092"
"Heard, GA","69","2.2%","$263,080","-0.1%","94.7%","11,616"
"DeKalb, GA","47","28.7%","$352,277","-3.3%","61.1%","762,992"
"DeKalb, TN","72","37.5%","$295,189","1.2%","74.1%","20,551"
"DeKalb, AL","64","33.3%","$204,001","7.3%","38.6%","72,569"
"Coosa, AL","71","-16.9%","$178,067","-2.1%","-16.7%","10,323"
"Parke, IN","58","-33.5%","$203,607","6.1%","2.6%","16,346"
"Gibson, TN","48","-5.4%","$174,118","0.9%","42.2%","50,610"
"Gibson, IN","36","9.9%","$202,633","5.8%","22.5%","32,986"
"Vermilion, IL","52","14.4%","$90,335","1.3%","-50.0%","71,652"
"McLean, KY","44","-16.5%","$156,141","12.5%","43.2%","9,127"
"McLean, IL","32","-6.5%","$248,898","6.6%","-60.0%","170,441"
"Limestone, AL","58","13.7%","$320,411","0.5%","97.6%","114,654"
"Todd, KY","59","62.7%","$209,078","10.9%","37.1%","12,330"
"Webster, GA","153","7,550.0%","$149,606","-0.6%","66.6%","2,348"
"Webster, WV","49","5.3%","$73,115","0.0%","-34.0%","8,253"
"Webster, MS","98","81.4%","$165,152","0.3%","13.5%","9,942"
"Webster, KY","80","77.6%","$137,264","2.3%","79.1%","12,873"
"Houston, GA","52","18.1%","$248,787","3.1%","15.4%","171,974"
"Houston, TN","59","41.8%","$214,328","5.8%","93.1%","8,293"
"Hardin, OH","30","-47.8%","$177,176","4.9%","-13.9%","30,527"
"Hardin, KY","45","41.7%","$243,742","6.2%","54.7%","112,273"
"Hardin, IL","43","-66.2%","$110,637","-7.3%","0.0%","3,623"
"Hardin, TN","84","3.6%","$201,213","5.9%","22.2%","26,939"
"Jackson, OH","51","9.6%","$141,547","-0.7%","-12.9%","32,588"
"Jackson, GA","56","33.7%","$409,188","1.9%","53.9%","88,615"
"Jackson, WV","36","12.5%","$190,997","5.6%","-22.7%","27,753"
"Jackson, NC","53","-2.7%","$442,977","4.4%","-3.6%","43,089"
"Jackson, IN","51","-0.4%","$225,184","3.5%","42.4%","46,319"
"Jackson, KY","69","23.4%","$126,849","4.8%","31.8%","13,003"
"Jackson, TN","61","-11.6%","$227,115","5.2%","48.0%","11,882"
"Jackson, AL","68","40.9%","$186,030","2.3%","36.7%","52,839"
"Jackson, IL","65","2.7%","$120,332","6.0%","-48.2%","52,706"
"Marshall, TN","48","34.2%","$324,967","2.1%","53.9%","35,276"
"Marshall, AL","66","45.0%","$232,279","2.8%","44.4%","100,756"
"Marshall, WV","73","30.3%","$121,990","1.3%","3.2%","30,129"
"Marshall, KY","65","30.0%","$181,484","13.0%","9.0%","31,728"
"Marshall, MS","61","2.5%","$214,421","4.3%","74.5%","33,899"
"Tipton, IN","28","34.9%","$229,805","7.2%","-7.4%","15,329"
"Dallas, AL","96","8.4%","$79,742","-2.1%","-13.8%","37,536"
"Wilcox, GA","67","70.7%","$118,214","-5.4%","71.4%","8,784"
"Wilcox, AL","97","20.1%","$133,927","1.6%","-6.4%","10,347"
"Pickens, SC","50","13.6%","$300,671","4.0%","47.9%","135,495"
"Pickens, GA","59","35.6%","$388,672","1.2%","8.1%","34,197"
"Pickens, AL","72","2.1%","$134,230","2.4%","-2.1%","18,843"
"Itawamba, MS","73","24.7%","$144,782","3.7%","14.5%","23,942"
"Kemper, MS","82","0.6%","$119,625","-12.5%","-20.0%","8,855"
"Choctaw, AL","42","-16.8%","$123,715","-2.1%","63.8%","12,525"
"Choctaw, MS","77","79.0%","$150,626","1.3%","9.4%","8,172"
"Attala, MS","89","21.2%","$118,106","1.7%","-1.8%","17,685"
"Smith, TN","57","62.8%","$302,757","0.6%","69.1%","20,196"
"Smith, MS","67","-28.1%","$146,600","1.4%","-13.7%","14,193"
"Cambria, PA","52","0.9%","$117,020","1.2%","-44.7%","130,668"
"Pendleton, KY","32","-29.2%","$198,569","7.1%","33.3%","14,683"
"Pendleton, WV","49","3.1%","$195,433","8.0%","-1.6%","6,111"
"Tucker, WV","68","22.1%","$199,205","1.5%","-17.5%","6,698"
"Taylor, GA","73","102.7%","$139,338","-1.2%","-24.3%","7,786"
"Taylor, KY","82","41.9%","$208,870","11.3%","107.0%","26,205"
"Taylor, WV","66","-18.8%","$186,728","6.9%","-41.8%","16,543"
"Covington, VA","105","775.0%","$91,219","8.4%","0.0%","5,671"
"Braxton, WV","131","38.9%","$140,936","7.3%","-7.8%","12,345"
"Giles, TN","67","69.6%","$252,335","3.6%","32.7%","30,442"
"Giles, VA","36","-20.8%","$183,397","1.3%","-7.5%","16,610"
"Radford, VA","63","129.0%","$259,999","2.4%","-11.1%","16,505"
"Cleveland, NC","59","28.2%","$213,171","-2.2%","71.1%","101,378"
"Sullivan, IN","45","-22.0%","$152,550","10.3%","19.1%","20,766"
"Sullivan, TN","45","27.1%","$256,419","2.7%","20.8%","162,135"
"Bristol, VA","53","23.9%","$182,443","1.7%","28.9%","17,024"
"Unicoi, TN","43","-12.2%","$239,880","1.3%","6.4%","17,779"
"Norton, VA","56","-25.2%","$120,564","3.6%","-37.2%","3,620"
"Georgetown, SC","65","12.0%","$384,342","1.2%","3.1%","65,731"
"Dorchester, SC","43","28.3%","$349,766","-0.0%","48.5%","169,833"
"Colleton, SC","73","20.6%","$249,909","4.9%","29.2%","38,623"
"Beaufort, SC","61","18.4%","$544,103","1.1%","12.6%","198,979"
"Fairfield, OH","28","14.5%","$361,601","3.0%","18.9%","165,360"
"Fairfield, SC","50","7.5%","$162,344","-3.0%","13.9%","20,741"
"Hampton, SC","117","136.3%","$149,661","-1.0%","-20.0%","18,555"
"Greenwood, SC","48","-11.2%","$168,031","-0.2%","73.9%","69,460"
"Columbia, GA","48","20.0%","$327,091","0.9%","17.8%","165,162"
"Treutlen, GA","57","22.5%","$114,133","-5.3%","-45.4%","6,387"
"Clinton, IN","37","12.9%","$213,933","7.1%","-10.1%","32,967"
"Clinton, KY","99","17.1%","$166,440","11.6%","37.9%","9,240"
"Clinton, IL","40","50.9%","$208,512","5.7%","-14.7%","36,899"
"Clinton, OH","32","3.2%","$241,264","5.1%","-0.6%","42,014"
"Powell, KY","65","19.2%","$167,731","8.0%","77.0%","13,057"
"Jessamine, KY","52","24.5%","$311,488","4.4%","19.9%","53,792"
"Owen, IN","54","38.4%","$227,435","5.0%","19.4%","21,434"
"Owen, KY","47","-19.1%","$171,802","5.1%","53.9%","11,270"
"Adams, OH","51","22.8%","$176,217","7.1%","16.4%","27,510"
"Adams, IN","26","-16.8%","$236,797","7.3%","-2.1%","35,995"
"Allen, OH","26","-36.1%","$174,696","4.3%","19.4%","100,838"
"Allen, KY","53","-17.1%","$203,369","6.1%","47.6%","21,029"
"Spencer, IN","52","15.0%","$224,481","3.8%","24.4%","19,871"
"Spencer, KY","45","83.6%","$354,903","4.3%","100.8%","19,875"
"Trimble, KY","34","33.3%","$225,487","12.6%","-16.9%","8,531"
"Grant, KY","30","10.2%","$254,938","7.1%","35.0%","25,238"
"Grant, WV","146","105.6%","$175,913","4.1%","-2.2%","10,972"
"Grant, IN","37","7.2%","$146,179","7.8%","-19.2%","66,200"
"Cass, IN","44","15.7%","$164,917","7.7%","17.3%","37,703"
"Letcher, KY","56","-44.9%","$88,657","-0.9%","-48.5%","21,146"
"Knott, KY","99","56.3%","$120,802","6.8%","-19.1%","14,046"
"Hamblen, TN","47","14.6%","$261,755","4.4%","36.9%","66,216"
"Stephens, GA","58","98.2%","$228,520","3.6%","48.3%","26,842"
"Habersham, GA","48","23.0%","$312,576","2.8%","46.7%","46,948"
"Laurel, KY","59","14.0%","$184,428","8.4%","16.1%","62,731"
"Fannin, GA","61","0.0%","$503,497","0.4%","59.0%","25,605"
"Bledsoe, TN","56","17.2%","$225,422","3.9%","31.9%","14,905"
"Sequatchie, TN","62","47.3%","$277,045","4.1%","101.1%","16,409"
"Larue, KY","35","-26.6%","$229,030","10.5%","59.1%","15,028"
"Coffee, TN","65","85.6%","$304,150","3.5%","85.5%","58,940"
"Cannon, TN","46","132.9%","$310,683","5.2%","129.7%","14,661"
"Breckinridge, KY","52","-19.6%","$163,252","6.4%","8.7%","20,722"
"Bedford, VA","43","1.1%","$337,701","3.1%","-6.1%","81,525"
"Bedford, PA","71","78.6%","$201,989","4.9%","-31.1%","47,503"
"Bedford, TN","80","131.8%","$329,788","2.7%","73.2%","51,291"
"Anderson, KY","52","103.9%","$255,330","11.1%","29.5%","24,098"
"Anderson, TN","46","-5.6%","$300,067","4.3%","52.2%","80,234"
"Anderson, SC","45","23.2%","$282,971","2.2%","28.7%","213,076"
"Wilkes, NC","44","2.3%","$203,939","4.4%","9.5%","66,013"
"Wilkes, GA","61","-3.2%","$155,350","-2.0%","10.5%","9,553"
"Fulton, KY","71","110.3%","$84,619","5.7%","-24.7%","6,440"
"Fulton, GA","51","22.8%","$435,769","-2.5%","37.4%","1,079,105"
"Floyd, IN","44","34.3%","$280,774","3.1%","22.3%","80,809"
"Floyd, KY","79","8.6%","$96,071","4.3%","-33.8%","35,342"
"Floyd, VA","52","-2.3%","$249,557","-0.2%","-28.4%","15,560"
"Floyd, GA","61","34.0%","$231,131","2.2%","45.0%","100,113"
"Randolph, NC","37","-14.9%","$238,456","4.1%","31.8%","147,458"
"Randolph, WV","56","11.5%","$151,448","4.7%","6.0%","27,782"
"Randolph, IN","45","-13.0%","$139,629","6.5%","-19.3%","24,425"
"Randolph, AL","59","-26.8%","$193,874","7.4%","-7.4%","22,310"
"Bullock, AL","68","-9.0%","$120,721","0.1%","14.2%","10,157"
"Pike, KY","82","1.8%","$111,883","4.8%","-14.8%","57,466"
"Pike, OH","55","37.5%","$169,041","0.8%","6.2%","27,080"
"Pike, GA","70","33.3%","$372,541","0.8%","24.3%","19,540"
"Pike, IN","62","55.7%","$163,271","3.4%","24.0%","12,187"
"Pike, AL","74","-13.2%","$166,142","0.9%","4.9%","32,953"
"Talladega, AL","65","8.3%","$180,496","5.4%","27.6%","81,132"
"Butler, OH","31","18.4%","$304,393","4.4%","0.7%","393,043"
"Butler, KY","37","-42.6%","$191,928","7.7%","46.0%","12,373"
"Butler, AL","74","44.3%","$116,475","2.9%","4.6%","18,807"
"Daviess, KY","51","45.7%","$208,697","4.9%","-2.2%","103,458"
"Daviess, IN","52","26.8%","$224,641","3.1%","20.3%","33,442"
"Fountain, IN","38","-12.6%","$182,795","5.2%","5.4%","16,546"
"Edgar, IL","38","-20.0%","$102,681","-1.2%","-44.2%","16,637"
"Jasper, SC","71","23.4%","$428,975","-0.4%","79.1%","30,658"
"Jasper, MS","114","33.7%","$129,729","-1.6%","-4.2%","16,211"
"Jasper, GA","40","-20.7%","$314,440","1.5%","48.5%","15,345"
"Jasper, IL","37","-67.7%","$168,058","0.9%","-32.5%","9,233"
"De Witt, IL","41","31.7%","$139,835","7.6%","-64.3%","15,461"
"Tazewell, VA","67","30.3%","$134,505","2.0%","-21.8%","39,933"
"Tazewell, IL","33","0.7%","$172,499","7.9%","-62.3%","129,541"
"Mason, WV","53","75.2%","$148,509","8.4%","-51.3%","25,214"
"Mason, KY","63","27.9%","$166,425","12.5%","21.6%","16,995"
"Knox, IN","56","30.5%","$151,215","5.6%","-5.2%","36,108"
"Knox, OH","40","6.6%","$272,049","5.0%","27.6%","62,888"
"Knox, KY","55","-17.9%","$159,843","10.5%","29.9%","30,034"
"Knox, TN","43","19.4%","$368,569","1.5%","52.7%","500,669"
"Ohio, WV","53","-26.3%","$148,293","4.6%","-17.4%","41,904"
"Ohio, IN","50","69.4%","$281,959","6.2%","-23.4%","5,993"
"Ohio, KY","68","11.4%","$161,875","11.1%","37.6%","23,704"
"McNairy, TN","51","-9.7%","$158,753","0.3%","22.4%","25,933"
"Alcorn, MS","85","14.8%","$163,311","5.9%","10.8%","34,500"
"Shelby, KY","40","21.2%","$316,217","5.4%","-13.7%","48,599"
"Shelby, AL","49","16.6%","$355,392","0.2%","18.6%","233,000"
"Shelby, IN","45","-13.1%","$240,615","4.5%","33.6%","45,104"
"Shelby, OH","46","47.1%","$227,602","7.6%","9.8%","48,007"
"Shelby, IL","66","123.7%","$155,269","6.0%","-47.0%","20,867"
"Perry, IN","53","-27.8%","$182,037","7.8%","18.1%","19,218"
"Perry, KY","51","-26.0%","$114,719","16.3%","-28.4%","27,847"
"Perry, IL","54","14.8%","$112,653","-4.3%","-25.5%","20,810"
"Perry, TN","87","21.6%","$169,587","0.0%","50.5%","8,561"
"Perry, OH","40","28.0%","$215,259","4.8%","37.8%","35,474"
"Perry, AL","66","-41.8%","$133,789","0.6%","-21.5%","8,231"
"Clarke, GA","51","20.0%","$329,603","2.3%","53.9%","129,933"
"Clarke, MS","82","40.1%","$105,980","-4.7%","20.9%","15,424"
"Clarke, AL","91","4.0%","$137,934","-6.0%","59.1%","22,802"
"Marion, OH","40","11.1%","$169,646","4.6%","12.1%","64,851"
"Marion, IN","43","10.2%","$232,391","2.5%","36.6%","968,460"
"Marion, WV","47","-4.0%","$158,190","3.9%","-10.4%","56,042"
"Marion, KY","64","9.4%","$210,957","8.2%","16.3%","19,680"
"Marion, GA","57","-70.8%","$154,645","-0.3%","-7.6%","7,474"
"Marion, SC","67","-1.8%","$108,884","4.3%","23.2%","28,900"
"Marion, TN","62","10.7%","$244,511","2.7%","44.0%","29,010"
"Marion, IL","52","10.6%","$114,574","-1.0%","-18.0%","37,294"
"Marion, AL","71","-2.0%","$158,118","0.8%","9.3%","29,190"
"Sumter, SC","54","10.2%","$194,919","1.9%","24.7%","104,165"
"Sumter, GA","70","40.6%","$126,104","-4.8%","7.6%","29,174"
"Sumter, AL","66","-45.2%","$108,191","-2.6%","-4.0%","12,020"
"Lamar, GA","65","57.5%","$278,912","2.1%","63.6%","19,098"
"Lamar, AL","78","-5.1%","$131,584","0.1%","-22.5%","13,809"
"Chickasaw, MS","36","-55.2%","$140,062","5.9%","30.2%","16,994"
"Holmes, OH","37","27.5%","$353,497","6.4%","19.2%","44,312"
"Allegany, MD","54","23.4%","$145,858","4.5%","-11.4%","67,273"
"Greene, IN","73","14.0%","$191,824","8.6%","7.6%","30,954"
"Greene, OH","32","29.2%","$293,897","4.2%","-2.5%","169,691"
"Greene, AL","131","-23.1%","$120,510","-5.0%","-4.0%","7,589"
"Greene, GA","69","30.1%","$623,578","4.1%","36.1%","19,586"
"Greene, TN","59","47.5%","$246,459","3.8%","59.5%","72,577"
"Greene, PA","60","-27.9%","$139,556","-0.3%","-10.2%","35,265"
"Nicholas, KY","116","354.9%","$173,082","13.9%","10.7%","7,655"
"Nicholas, WV","42","3.6%","$138,926","3.3%","-1.5%","24,446"
"Belmont, OH","52","-9.9%","$128,361","2.9%","-4.4%","64,918"
"Pleasants, WV","37","-45.3%","$164,749","8.1%","83.1%","7,572"
"Noble, OH","61","-24.6%","$174,849","3.7%","24.0%","14,252"
"Coshocton, OH","38","1.3%","$168,950","3.5%","-7.0%","36,679"
"Athens, OH","44","28.4%","$176,111","5.1%","-36.9%","61,573"
"Gallia, OH","53","138.2%","$151,899","2.6%","-27.4%","29,162"
"Hocking, OH","43","-13.1%","$264,170","-0.6%","71.9%","27,938"
"Licking, OH","40","32.2%","$332,398","2.0%","44.7%","183,201"
"Vinton, OH","54","40.2%","$168,158","2.3%","70.7%","12,686"
"Person, NC","33","12.8%","$236,788","-0.5%","56.8%","39,275"
"Hoke, NC","54","47.9%","$278,271","2.8%","84.2%","53,102"
"Caswell, NC","54","92.8%","$195,378","-1.8%","-24.8%","22,689"
"Montgomery, AL","58","10.4%","$159,127","0.1%","10.6%","224,980"
"Montgomery, KY","48","23.8%","$212,419","4.6%","6.9%","28,271"
"Montgomery, OH","35","30.8%","$194,608","4.9%","-1.1%","533,796"
"Montgomery, IL","45","-15.8%","$122,486","3.9%","-26.9%","28,078"
"Montgomery, TN","53","38.5%","$326,564","0.6%","77.8%","239,872"
"Montgomery, IN","37","19.6%","$216,184","7.0%","18.2%","38,155"
"Montgomery, GA","51","-42.6%","$168,579","-1.7%","-14.8%","8,675"
"Montgomery, MS","94","-11.7%","$120,405","6.1%","70.3%","9,708"
"Montgomery, VA","43","0.0%","$338,672","2.7%","4.6%","98,666"
"Montgomery, NC","52","19.5%","$177,861","1.0%","-6.2%","25,874"
"Salem, VA","44","-26.6%","$279,564","4.0%","13.9%","25,477"
"Stanly, NC","50","14.2%","$294,436","3.9%","65.2%","65,699"
"Davie, NC","46","13.0%","$305,522","1.5%","-18.6%","43,526"
"Grayson, KY","64","24.2%","$199,955","11.3%","43.5%","26,586"
"Grayson, VA","53","-33.7%","$186,020","2.4%","-14.4%","15,323"
"Chester, TN","54","-20.1%","$164,616","0.3%","65.9%","17,452"
"Chester, SC","42","21.7%","$214,799","0.0%","88.2%","32,177"
"Burke, GA","85","21.5%","$151,206","-0.5%","22.5%","24,427"
"Burke, NC","57","29.5%","$244,774","1.4%","39.8%","88,338"
"Washington, PA","52","11.9%","$231,625","1.2%","-7.9%","210,232"
"Washington, GA","43","-52.6%","$124,270","-6.4%","-20.2%","19,893"
"Washington, TN","46","10.8%","$302,132","1.7%","43.2%","138,420"
"Washington, IN","47","1.0%","$219,596","5.1%","19.7%","28,167"
"Washington, KY","75","53.8%","$245,220","10.2%","91.8%","12,091"
"Washington, IL","57","88.4%","$156,390","4.7%","-42.8%","13,682"
"Washington, OH","53","6.5%","$176,174","4.2%","10.6%","59,318"
"Washington, VA","58","6.4%","$260,745","3.8%","-3.6%","53,913"
"Dickenson, VA","91","65.4%","$100,112","7.5%","-25.6%","13,920"
"Williamsburg, SC","105","62.7%","$130,214","11.2%","13.4%","30,517"
"Berkeley, SC","44","11.3%","$373,687","0.7%","33.9%","255,217"
"Kershaw, SC","50","13.6%","$242,492","1.2%","9.2%","69,905"
"Calhoun, AL","59","16.8%","$163,003","2.4%","0.7%","116,429"
"Calhoun, WV","101","-24.2%","$85,570","-2.2%","-20.6%","6,158"
"Calhoun, MS","84","52.7%","$119,854","-0.0%","60.9%","13,029"
"Calhoun, SC","71","12.2%","$189,004","-1.3%","21.8%","14,150"
"Lexington, VA","37","94.6%","$341,180","6.5%","-58.2%","7,420"
"Lexington, SC","38","-2.5%","$269,333","2.5%","19.6%","309,528"
"Allendale, SC","99","78.3%","$66,608","-2.2%","28.0%","7,738"
"Aiken, SC","53","-5.7%","$224,466","1.7%","14.2%","177,130"
"Richmond, NC","61","-17.1%","$128,219","-1.2%","17.1%","42,818"
"Richmond, GA","55","23.5%","$183,864","0.0%","35.9%","205,414"
"Toombs, GA","67","-31.2%","$164,851","2.4%","-25.5%","26,943"
"Abbeville, SC","49","-23.1%","$202,703","0.3%","24.9%","24,352"
"Delaware, IN","44","4.1%","$161,097","7.7%","-9.7%","112,321"
"Delaware, OH","33","32.0%","$510,247","2.4%","2.2%","231,636"
"Highland, VA","87","216.3%","$281,285","6.4%","-53.8%","2,265"
"Highland, OH","45","30.4%","$193,382","7.0%","36.1%","43,403"
"Champaign, IL","39","14.0%","$223,178","5.2%","-46.4%","205,644"
"Champaign, OH","40","116.2%","$237,372","4.8%","-26.3%","38,772"
"Clermont, OH","29","-13.6%","$319,067","3.6%","-19.4%","211,972"
"Kenton, KY","37","27.5%","$275,453","4.0%","0.2%","171,321"
"Mercer, KY","48","2.1%","$235,329","7.9%","-0.7%","22,824"
"Mercer, WV","45","-10.1%","$139,518","5.4%","-32.4%","59,062"
"Mercer, OH","44","-20.0%","$251,952","5.3%","-48.2%","42,438"
"Ripley, IN","35","13.1%","$269,713","5.7%","-21.0%","29,039"
"Rush, IN","46","16.6%","$205,003","8.8%","42.8%","16,734"
"Hancock, KY","31","-46.4%","$190,049","9.6%","10.0%","9,032"
"Hancock, GA","66","-35.1%","$209,842","0.9%","24.4%","8,630"
"Hancock, WV","47","-27.9%","$132,386","5.7%","-5.5%","28,658"
"Hancock, TN","55","-33.3%","$149,342","0.0%","76.0%","6,790"
"Hancock, IN","38","-10.5%","$324,267","2.4%","57.7%","86,166"
"Hamilton, TN","51","6.8%","$359,650","1.5%","46.8%","379,864"
"Hamilton, IL","45","-15.0%","$117,692","-4.7%","-64.9%","7,972"
"Hamilton, OH","32","23.0%","$269,723","2.9%","0.3%","827,058"
"Hamilton, IN","33","11.8%","$456,396","2.4%","-2.1%","371,645"
"Brown, OH","33","6.5%","$254,113","4.5%","18.5%","43,710"
"Brown, IN","66","2.7%","$353,212","4.5%","12.3%","15,543"
"Orange, NC","43","14.6%","$517,036","1.3%","37.7%","150,626"
"Orange, IN","47","-8.7%","$174,540","3.6%","19.2%","19,746"
"Pulaski, VA","41","-8.8%","$207,138","0.3%","20.2%","33,771"
"Pulaski, GA","43","-7.0%","$179,060","3.5%","61.4%","9,893"
"Pulaski, IL","80","-17.1%","$91,828","-8.0%","14.2%","5,074"
"Pulaski, KY","65","1.5%","$187,291","4.4%","18.1%","66,191"
"Jefferson, KY","34","4.6%","$256,331","5.1%","3.1%","772,144"
"Jefferson, IL","50","0.5%","$131,156","-0.9%","-24.2%","36,808"
"Jefferson, OH","44","-29.3%","$118,813","5.3%","3.0%","64,855"
"Jefferson, GA","128","148.5%","$110,201","-0.8%","67.3%","15,468"
"Jefferson, IN","42","31.2%","$226,634","5.0%","2.5%","33,074"
"Jefferson, AL","50","14.9%","$214,325","-1.0%","33.5%","662,895"
"Jefferson, TN","53","-4.0%","$329,823","5.0%","49.7%","55,835"
"Campbell, VA","42","-6.6%","$261,326","3.4%","5.3%","55,398"
"Campbell, KY","34","0.7%","$272,671","2.6%","13.1%","93,702"
"Campbell, TN","60","-8.8%","$235,171","5.0%","44.3%","39,568"
"Dawson, GA","51","37.8%","$464,365","0.4%","40.0%","28,704"
"Roane, WV","66","35.3%","$120,890","0.7%","-5.7%","13,921"
"Roane, TN","57","25.2%","$278,391","1.8%","24.1%","54,403"
"McMinn, TN","68","68.7%","$247,116","2.5%","40.8%","54,135"
"Pickett, TN","64","20.7%","$237,482","14.6%","53.2%","5,062"
"Clay, AL","111","21.3%","$166,953","3.7%","-30.4%","14,188"
